        time     pot_ergy        press
  0.2510E+00  -0.4846E+01   0.5776E+00
  0.2520E+00  -0.4846E+01   0.5765E+00
  0.2530E+00  -0.4847E+01   0.5721E+00
  0.2540E+00  -0.4848E+01   0.5664E+00
  0.2550E+00  -0.4849E+01   0.5637E+00
  0.2560E+00  -0.4849E+01   0.5617E+00
  0.2570E+00  -0.4849E+01   0.5612E+00
  0.2580E+00  -0.4849E+01   0.5597E+00
  0.2590E+00  -0.4850E+01   0.5569E+00
  0.2600E+00  -0.4850E+01   0.5553E+00
  0.2610E+00  -0.4851E+01   0.5531E+00
  0.2620E+00  -0.4851E+01   0.5504E+00
  0.2630E+00  -0.4851E+01   0.5516E+00
  0.2640E+00  -0.4850E+01   0.5546E+00
  0.2650E+00  -0.4850E+01   0.5559E+00
  0.2660E+00  -0.4850E+01   0.5541E+00
  0.2670E+00  -0.4851E+01   0.5506E+00
  0.2680E+00  -0.4851E+01   0.5492E+00
  0.2690E+00  -0.4851E+01   0.5497E+00
  0.2700E+00  -0.4851E+01   0.5512E+00
  0.2710E+00  -0.4851E+01   0.5488E+00
  0.2720E+00  -0.4852E+01   0.5459E+00
  0.2730E+00  -0.4852E+01   0.5441E+00
  0.2740E+00  -0.4853E+01   0.5415E+00
  0.2750E+00  -0.4853E+01   0.5387E+00
  0.2760E+00  -0.4853E+01   0.5390E+00
  0.2770E+00  -0.4853E+01   0.5394E+00
  0.2780E+00  -0.4853E+01   0.5402E+00
  0.2790E+00  -0.4852E+01   0.5435E+00
  0.2800E+00  -0.4852E+01   0.5465E+00
  0.2810E+00  -0.4851E+01   0.5511E+00
  0.2820E+00  -0.4850E+01   0.5535E+00
  0.2830E+00  -0.4851E+01   0.5529E+00
  0.2840E+00  -0.4850E+01   0.5541E+00
  0.2850E+00  -0.4850E+01   0.5541E+00
  0.2860E+00  -0.4851E+01   0.5533E+00
  0.2870E+00  -0.4850E+01   0.5544E+00
  0.2880E+00  -0.4850E+01   0.5544E+00
  0.2890E+00  -0.4851E+01   0.5544E+00
  0.2900E+00  -0.4851E+01   0.5545E+00
  0.2910E+00  -0.4850E+01   0.5559E+00
  0.2920E+00  -0.4851E+01   0.5555E+00
  0.2930E+00  -0.4851E+01   0.5550E+00
  0.2940E+00  -0.4851E+01   0.5561E+00
  0.2950E+00  -0.4850E+01   0.5583E+00
  0.2960E+00  -0.4850E+01   0.5606E+00
  0.2970E+00  -0.4850E+01   0.5617E+00
  0.2980E+00  -0.4850E+01   0.5630E+00
  0.2990E+00  -0.4849E+01   0.5663E+00
  0.3000E+00  -0.4849E+01   0.5692E+00
  0.3010E+00  -0.4849E+01   0.5722E+00
  0.3020E+00  -0.4848E+01   0.5740E+00
  0.3030E+00  -0.4847E+01   0.5806E+00
  0.3040E+00  -0.4845E+01   0.5881E+00
  0.3050E+00  -0.4845E+01   0.5898E+00
  0.3060E+00  -0.4845E+01   0.5895E+00
  0.3070E+00  -0.4846E+01   0.5887E+00
  0.3080E+00  -0.4846E+01   0.5887E+00
  0.3090E+00  -0.4846E+01   0.5862E+00
  0.3100E+00  -0.4847E+01   0.5830E+00
  0.3110E+00  -0.4848E+01   0.5792E+00
  0.3120E+00  -0.4848E+01   0.5757E+00
  0.3130E+00  -0.4849E+01   0.5727E+00
  0.3140E+00  -0.4849E+01   0.5709E+00
  0.3150E+00  -0.4849E+01   0.5686E+00
  0.3160E+00  -0.4850E+01   0.5650E+00
  0.3170E+00  -0.4851E+01   0.5616E+00
  0.3180E+00  -0.4851E+01   0.5608E+00
  0.3190E+00  -0.4851E+01   0.5583E+00
  0.3200E+00  -0.4852E+01   0.5555E+00
  0.3210E+00  -0.4852E+01   0.5532E+00
  0.3220E+00  -0.4852E+01   0.5519E+00
  0.3230E+00  -0.4853E+01   0.5508E+00
  0.3240E+00  -0.4853E+01   0.5498E+00
  0.3250E+00  -0.4853E+01   0.5488E+00
  0.3260E+00  -0.4853E+01   0.5495E+00
  0.3270E+00  -0.4853E+01   0.5490E+00
  0.3280E+00  -0.4853E+01   0.5493E+00
  0.3290E+00  -0.4854E+01   0.5480E+00
  0.3300E+00  -0.4854E+01   0.5463E+00
  0.3310E+00  -0.4855E+01   0.5444E+00
  0.3320E+00  -0.4855E+01   0.5431E+00
  0.3330E+00  -0.4856E+01   0.5404E+00
  0.3340E+00  -0.4856E+01   0.5379E+00
  0.3350E+00  -0.4857E+01   0.5355E+00
  0.3360E+00  -0.4857E+01   0.5318E+00
  0.3370E+00  -0.4858E+01   0.5288E+00
  0.3380E+00  -0.4858E+01   0.5274E+00
  0.3390E+00  -0.4858E+01   0.5277E+00
  0.3400E+00  -0.4858E+01   0.5289E+00
  0.3410E+00  -0.4858E+01   0.5305E+00
  0.3420E+00  -0.4858E+01   0.5309E+00
  0.3430E+00  -0.4857E+01   0.5317E+00
  0.3440E+00  -0.4858E+01   0.5314E+00
  0.3450E+00  -0.4858E+01   0.5299E+00
  0.3460E+00  -0.4858E+01   0.5287E+00
  0.3470E+00  -0.4858E+01   0.5282E+00
  0.3480E+00  -0.4859E+01   0.5261E+00
  0.3490E+00  -0.4859E+01   0.5243E+00
  0.3500E+00  -0.4859E+01   0.5235E+00
  0.3510E+00  -0.4859E+01   0.5235E+00
  0.3520E+00  -0.4860E+01   0.5218E+00
  0.3530E+00  -0.4860E+01   0.5212E+00
  0.3540E+00  -0.4860E+01   0.5223E+00
  0.3550E+00  -0.4859E+01   0.5237E+00
  0.3560E+00  -0.4859E+01   0.5255E+00
  0.3570E+00  -0.4859E+01   0.5273E+00
  0.3580E+00  -0.4858E+01   0.5287E+00
  0.3590E+00  -0.4858E+01   0.5313E+00
  0.3600E+00  -0.4857E+01   0.5338E+00
  0.3610E+00  -0.4857E+01   0.5351E+00
  0.3620E+00  -0.4857E+01   0.5335E+00
  0.3630E+00  -0.4857E+01   0.5325E+00
  0.3640E+00  -0.4857E+01   0.5323E+00
  0.3650E+00  -0.4857E+01   0.5321E+00
  0.3660E+00  -0.4857E+01   0.5313E+00
  0.3670E+00  -0.4858E+01   0.5286E+00
  0.3680E+00  -0.4858E+01   0.5260E+00
  0.3690E+00  -0.4858E+01   0.5271E+00
