           n       Iaprox        E_rel
        4600   0.2501E+00   0.2174E-03
        4610   0.2501E+00   0.2170E-03
        4620   0.2501E+00   0.2165E-03
        4630   0.2501E+00   0.2160E-03
        4640   0.2501E+00   0.2156E-03
        4650   0.2501E+00   0.2151E-03
        4660   0.2501E+00   0.2146E-03
        4670   0.2501E+00   0.2142E-03
        4680   0.2501E+00   0.2137E-03
        4690   0.2501E+00   0.2133E-03
        4700   0.2501E+00   0.2128E-03
        4710   0.2501E+00   0.2124E-03
        4720   0.2501E+00   0.2119E-03
        4730   0.2501E+00   0.2115E-03
        4740   0.2501E+00   0.2110E-03
        4750   0.2501E+00   0.2106E-03
        4760   0.2501E+00   0.2101E-03
        4770   0.2501E+00   0.2097E-03
        4780   0.2501E+00   0.2092E-03
        4790   0.2501E+00   0.2088E-03
        4800   0.2501E+00   0.2084E-03
        4810   0.2501E+00   0.2079E-03
        4820   0.2501E+00   0.2075E-03
        4830   0.2501E+00   0.2071E-03
        4840   0.2501E+00   0.2067E-03
        4850   0.2501E+00   0.2062E-03
        4860   0.2501E+00   0.2058E-03
        4870   0.2501E+00   0.2054E-03
        4880   0.2501E+00   0.2050E-03
        4890   0.2501E+00   0.2045E-03
        4900   0.2501E+00   0.2041E-03
        4910   0.2501E+00   0.2037E-03
        4920   0.2501E+00   0.2033E-03
        4930   0.2501E+00   0.2029E-03
        4940   0.2501E+00   0.2025E-03
        4950   0.2501E+00   0.2021E-03
        4960   0.2501E+00   0.2017E-03
        4970   0.2501E+00   0.2012E-03
        4980   0.2501E+00   0.2008E-03
        4990   0.2501E+00   0.2004E-03
        5000   0.2501E+00   0.2000E-03
        5010   0.2500E+00   0.1996E-03
        5020   0.2500E+00   0.1992E-03
        5030   0.2500E+00   0.1988E-03
        5040   0.2500E+00   0.1985E-03
        5050   0.2500E+00   0.1981E-03
        5060   0.2500E+00   0.1977E-03
        5070   0.2500E+00   0.1973E-03
        5080   0.2500E+00   0.1969E-03
        5090   0.2500E+00   0.1965E-03
        5100   0.2500E+00   0.1961E-03
        5110   0.2500E+00   0.1957E-03
        5120   0.2500E+00   0.1954E-03
        5130   0.2500E+00   0.1950E-03
        5140   0.2500E+00   0.1946E-03
        5150   0.2500E+00   0.1942E-03
        5160   0.2500E+00   0.1938E-03
        5170   0.2500E+00   0.1935E-03
        5180   0.2500E+00   0.1931E-03
        5190   0.2500E+00   0.1927E-03
        5200   0.2500E+00   0.1923E-03
        5210   0.2500E+00   0.1920E-03
        5220   0.2500E+00   0.1916E-03
        5230   0.2500E+00   0.1912E-03
        5240   0.2500E+00   0.1909E-03
        5250   0.2500E+00   0.1905E-03
        5260   0.2500E+00   0.1902E-03
        5270   0.2500E+00   0.1898E-03
        5280   0.2500E+00   0.1894E-03
        5290   0.2500E+00   0.1891E-03
        5300   0.2500E+00   0.1887E-03
        5310   0.2500E+00   0.1884E-03
        5320   0.2500E+00   0.1880E-03
        5330   0.2500E+00   0.1877E-03
        5340   0.2500E+00   0.1873E-03
        5350   0.2500E+00   0.1870E-03
        5360   0.2500E+00   0.1866E-03
        5370   0.2500E+00   0.1863E-03
        5380   0.2500E+00   0.1859E-03
        5390   0.2500E+00   0.1856E-03
        5400   0.2500E+00   0.1852E-03
        5410   0.2500E+00   0.1849E-03
        5420   0.2500E+00   0.1845E-03
        5430   0.2500E+00   0.1842E-03
        5440   0.2500E+00   0.1839E-03
        5450   0.2500E+00   0.1835E-03
        5460   0.2500E+00   0.1832E-03
        5470   0.2500E+00   0.1828E-03
        5480   0.2500E+00   0.1825E-03
        5490   0.2500E+00   0.1822E-03
        5500   0.2500E+00   0.1819E-03
        5510   0.2500E+00   0.1815E-03
        5520   0.2500E+00   0.1812E-03
        5530   0.2500E+00   0.1809E-03
        5540   0.2500E+00   0.1805E-03
        5550   0.2500E+00   0.1802E-03
        5560   0.2500E+00   0.1799E-03
        5570   0.2500E+00   0.1796E-03
        5580   0.2500E+00   0.1792E-03
        5590   0.2500E+00   0.1789E-03
        5600   0.2500E+00   0.1786E-03
        5610   0.2500E+00   0.1783E-03
        5620   0.2500E+00   0.1780E-03
        5630   0.2500E+00   0.1777E-03
        5640   0.2500E+00   0.1773E-03
        5650   0.2500E+00   0.1770E-03
        5660   0.2500E+00   0.1767E-03
