     MC_step       U_adim       M_adim
         477  -0.1312E+04   0.1250E-01
         478  -0.1164E+04   0.2750E-01
         479  -0.1168E+04   0.1250E-02
         480  -0.1088E+04   0.2125E-01
         481  -0.1100E+04   0.5000E-01
         482  -0.1088E+04   0.6125E-01
         483  -0.1220E+04   0.4250E-01
         484  -0.1116E+04   0.3750E-01
         485  -0.1112E+04   0.5625E-01
         486  -0.1156E+04   0.8750E-02
         487  -0.1092E+04   0.7500E-02
         488  -0.1052E+04   0.1375E-01
         489  -0.1064E+04   0.1000E-01
         490  -0.1112E+04   0.2500E-02
         491  -0.1240E+04   0.7500E-02
         492  -0.1356E+04   0.4000E-01
         493  -0.1404E+04   0.3500E-01
         494  -0.1336E+04   0.2875E-01
         495  -0.1304E+04   0.3875E-01
         496  -0.1292E+04   0.1250E-01
         497  -0.1392E+04   0.6125E-01
         498  -0.1280E+04   0.3750E-02
         499  -0.1220E+04   0.5125E-01
         500  -0.1208E+04   0.1250E-01
         501  -0.1236E+04   0.4875E-01
         502  -0.1304E+04   0.3125E-01
         503  -0.1252E+04   0.3250E-01
         504  -0.1384E+04   0.8125E-01
         505  -0.1288E+04   0.8250E-01
         506  -0.1172E+04   0.7500E-01
         507  -0.1172E+04   0.1288E+00
         508  -0.1268E+04   0.1338E+00
         509  -0.1232E+04   0.1113E+00
         510  -0.1176E+04   0.1188E+00
         511  -0.1272E+04   0.9625E-01
         512  -0.1332E+04   0.1288E+00
         513  -0.1244E+04   0.5250E-01
         514  -0.1284E+04   0.5875E-01
         515  -0.1220E+04   0.5625E-01
         516  -0.1244E+04   0.4500E-01
         517  -0.1280E+04   0.5750E-01
         518  -0.1236E+04   0.7500E-01
         519  -0.1360E+04   0.7500E-01
         520  -0.1240E+04   0.4375E-01
         521  -0.1276E+04   0.4500E-01
         522  -0.1320E+04   0.6250E-01
         523  -0.1224E+04   0.8750E-02
         524  -0.1292E+04   0.5625E-01
         525  -0.1260E+04   0.1113E+00
         526  -0.1256E+04   0.6750E-01
         527  -0.1220E+04   0.8625E-01
         528  -0.1240E+04   0.4250E-01
         529  -0.1396E+04   0.7125E-01
         530  -0.1352E+04   0.3750E-01
         531  -0.1256E+04   0.9125E-01
         532  -0.1320E+04   0.2375E-01
         533  -0.1296E+04   0.2375E-01
         534  -0.1396E+04   0.1212E+00
         535  -0.1344E+04   0.1300E+00
         536  -0.1184E+04   0.1450E+00
         537  -0.1268E+04   0.1438E+00
         538  -0.1252E+04   0.1288E+00
         539  -0.1352E+04   0.1487E+00
         540  -0.1376E+04   0.1575E+00
         541  -0.1172E+04   0.1313E+00
         542  -0.1128E+04   0.8125E-01
         543  -0.1168E+04   0.9375E-01
         544  -0.1172E+04   0.5750E-01
         545  -0.1284E+04   0.2625E-01
         546  -0.1332E+04   0.1100E+00
         547  -0.1256E+04   0.1500E+00
         548  -0.1316E+04   0.1163E+00
         549  -0.1276E+04   0.1400E+00
         550  -0.1272E+04   0.1250E+00
         551  -0.1268E+04   0.1175E+00
         552  -0.1216E+04   0.1413E+00
         553  -0.1236E+04   0.1575E+00
         554  -0.1360E+04   0.8125E-01
         555  -0.1240E+04   0.8000E-01
         556  -0.1300E+04   0.7750E-01
         557  -0.1324E+04   0.5750E-01
         558  -0.1308E+04   0.8375E-01
         559  -0.1280E+04   0.9875E-01
         560  -0.1288E+04   0.1038E+00
         561  -0.1340E+04   0.8125E-01
         562  -0.1272E+04   0.1325E+00
         563  -0.1280E+04   0.8250E-01
         564  -0.1304E+04   0.1000E+00
         565  -0.1276E+04   0.9375E-01
         566  -0.1296E+04   0.2125E-01
         567  -0.1424E+04   0.6125E-01
         568  -0.1404E+04   0.4750E-01
         569  -0.1372E+04   0.1038E+00
         570  -0.1252E+04   0.4750E-01
         571  -0.1192E+04   0.1250E-01
         572  -0.1204E+04   0.1750E-01
         573  -0.1240E+04   0.4750E-01
         574  -0.1312E+04   0.4750E-01
         575  -0.1244E+04   0.8500E-01
         576  -0.1276E+04   0.1625E-01
         577  -0.1136E+04   0.3875E-01
         578  -0.1316E+04   0.8750E-02
         579  -0.1264E+04   0.2250E-01
         580  -0.1172E+04   0.1250E-02
         581  -0.1196E+04   0.3750E-02
         582  -0.1192E+04   0.4500E-01
         583  -0.1152E+04   0.3125E-01
         584  -0.1236E+04   0.2500E-02
         585  -0.1192E+04   0.6250E-02
         586  -0.1224E+04   0.2625E-01
         587  -0.1100E+04   0.3375E-01
         588  -0.1176E+04   0.8750E-02
         589  -0.1220E+04   0.1250E-02
         590  -0.1172E+04   0.8750E-02
         591  -0.1268E+04   0.7500E-02
         592  -0.1144E+04   0.3875E-01
         593  -0.1212E+04   0.2750E-01
         594  -0.1324E+04   0.5125E-01
         595  -0.1280E+04   0.3250E-01
         596  -0.1312E+04   0.2625E-01
         597  -0.1220E+04   0.5000E-02
         598  -0.1176E+04   0.1625E-01
         599  -0.1152E+04   0.2750E-01
         600  -0.1164E+04   0.4250E-01
         601  -0.1296E+04   0.1500E-01
         602  -0.1380E+04   0.8750E-02
         603  -0.1308E+04   0.2750E-01
         604  -0.1348E+04   0.4750E-01
         605  -0.1240E+04   0.1250E-02
         606  -0.1160E+04   0.0000E+00
         607  -0.1172E+04   0.1125E-01
         608  -0.1164E+04   0.3375E-01
         609  -0.1084E+04   0.7500E-02
         610  -0.1176E+04   0.8125E-01
         611  -0.1200E+04   0.1038E+00
         612  -0.1264E+04   0.1425E+00
         613  -0.1168E+04   0.7875E-01
         614  -0.1272E+04   0.9000E-01
         615  -0.1260E+04   0.1175E+00
         616  -0.1212E+04   0.1500E+00
         617  -0.1128E+04   0.1288E+00
         618  -0.1120E+04   0.1113E+00
         619  -0.1232E+04   0.7250E-01
         620  -0.1216E+04   0.9750E-01
         621  -0.1152E+04   0.7250E-01
         622  -0.1140E+04   0.5125E-01
         623  -0.1276E+04   0.3750E-01
         624  -0.1168E+04   0.4625E-01
         625  -0.1144E+04   0.6875E-01
         626  -0.1132E+04   0.5625E-01
         627  -0.1064E+04   0.4875E-01
         628  -0.9800E+03   0.1000E-01
         629  -0.1036E+04   0.5000E-02
         630  -0.1196E+04   0.2125E-01
         631  -0.1108E+04   0.3625E-01
         632  -0.1092E+04   0.7625E-01
         633  -0.1196E+04   0.1462E+00
         634  -0.1096E+04   0.8000E-01
