    tau_corr   autocorr_U   autocorr_M
         680   0.4253E-02   0.1568E-03
         681  -0.2945E-02  -0.3348E-02
         682  -0.5121E-02  -0.6744E-02
         683  -0.2899E-02  -0.3182E-02
         684   0.4494E-02   0.5381E-03
         685  -0.2947E-02  -0.3316E-02
         686  -0.5324E-02  -0.6847E-02
         687  -0.3294E-02  -0.3559E-02
         688   0.4049E-02  -0.1024E-03
         689  -0.3366E-02  -0.3745E-02
         690  -0.5318E-02  -0.7040E-02
         691  -0.3056E-02  -0.3527E-02
         692   0.3929E-02  -0.1597E-03
         693  -0.3224E-02  -0.3812E-02
         694  -0.5415E-02  -0.7276E-02
