     MC_step       U_adim      U_error       M_adim      M_error
         323  -0.7400E+02   0.5762E-01   0.3000E-01   0.1688E-03
         324  -0.8600E+02   0.5751E-01  -0.9000E-01   0.1683E-03
         325  -0.1060E+03   0.5742E-01  -0.3000E-01   0.1678E-03
         326  -0.8600E+02   0.5730E-01  -0.1300E+00   0.1673E-03
         327  -0.1060E+03   0.5722E-01   0.1100E+00   0.1668E-03
         328  -0.9800E+02   0.5712E-01   0.2300E+00   0.1665E-03
         329  -0.9800E+02   0.5703E-01   0.5000E-01   0.1660E-03
         330  -0.9800E+02   0.5693E-01   0.1000E-01   0.1655E-03
         331  -0.1020E+03   0.5684E-01   0.5000E-01   0.1650E-03
         332  -0.9400E+02   0.5674E-01   0.9000E-01   0.1645E-03
         333  -0.9000E+02   0.5663E-01  -0.5000E-01   0.1640E-03
         334  -0.9800E+02   0.5654E-01  -0.5000E-01   0.1635E-03
         335  -0.9000E+02   0.5643E-01  -0.1100E+00   0.1631E-03
         336  -0.8600E+02   0.5632E-01  -0.1000E-01   0.1626E-03
         337  -0.9400E+02   0.5623E-01   0.5000E-01   0.1621E-03
         338  -0.8600E+02   0.5612E-01   0.5000E-01   0.1616E-03
         339  -0.1100E+03   0.5604E-01  -0.9000E-01   0.1612E-03
         340  -0.1060E+03   0.5596E-01  -0.5000E-01   0.1607E-03
         341  -0.1060E+03   0.5589E-01   0.1500E+00   0.1603E-03
         342  -0.1020E+03   0.5580E-01   0.1500E+00   0.1599E-03
         343  -0.9000E+02   0.5570E-01   0.1500E+00   0.1595E-03
         344  -0.9400E+02   0.5561E-01   0.9000E-01   0.1591E-03
         345  -0.8600E+02   0.5550E-01   0.9000E-01   0.1586E-03
         346  -0.8200E+02   0.5539E-01   0.1000E-01   0.1582E-03
         347  -0.9400E+02   0.5530E-01   0.3000E-01   0.1577E-03
         348  -0.9000E+02   0.5520E-01  -0.1100E+00   0.1573E-03
         349  -0.8600E+02   0.5509E-01  -0.7000E-01   0.1568E-03
         350  -0.1020E+03   0.5501E-01  -0.5000E-01   0.1564E-03
         351  -0.1140E+03   0.5495E-01  -0.3000E-01   0.1560E-03
         352  -0.1100E+03   0.5488E-01   0.5000E-01   0.1555E-03
         353  -0.1260E+03   0.5484E-01   0.3000E-01   0.1551E-03
         354  -0.1020E+03   0.5476E-01  -0.1000E-01   0.1547E-03
         355  -0.1180E+03   0.5471E-01  -0.5000E-01   0.1542E-03
         356  -0.1180E+03   0.5465E-01  -0.7000E-01   0.1538E-03
         357  -0.1260E+03   0.5461E-01  -0.7000E-01   0.1534E-03
         358  -0.1220E+03   0.5457E-01  -0.1300E+00   0.1530E-03
         359  -0.1220E+03   0.5452E-01  -0.1500E+00   0.1526E-03
         360  -0.1340E+03   0.5449E-01  -0.2300E+00   0.1523E-03
         361  -0.1180E+03   0.5444E-01  -0.1700E+00   0.1520E-03
         362  -0.9400E+02   0.5435E-01  -0.2300E+00   0.1517E-03
         363  -0.1180E+03   0.5430E-01   0.1000E-01   0.1513E-03
         364  -0.1180E+03   0.5425E-01  -0.7000E-01   0.1509E-03
         365  -0.1100E+03   0.5418E-01  -0.7000E-01   0.1505E-03
         366  -0.9800E+02   0.5410E-01  -0.9000E-01   0.1501E-03
         367  -0.1020E+03   0.5402E-01  -0.1100E+00   0.1497E-03
         368  -0.7800E+02   0.5392E-01  -0.1300E+00   0.1493E-03
