     MC_step       U_adim       M_adim
         501  -0.4296E+04   0.1188E+00
         502  -0.4248E+04   0.7750E-01
         503  -0.4432E+04   0.1250E-01
         504  -0.4344E+04   0.6875E-01
         505  -0.4348E+04   0.6125E-01
         506  -0.4348E+04   0.8000E-01
         507  -0.4396E+04   0.1862E+00
         508  -0.4384E+04   0.1588E+00
         509  -0.4396E+04   0.1600E+00
         510  -0.4388E+04   0.6000E-01
         511  -0.4396E+04   0.1638E+00
         512  -0.4472E+04   0.2162E+00
         513  -0.4308E+04   0.1013E+00
         514  -0.4424E+04   0.7750E-01
         515  -0.4544E+04   0.1087E+00
         516  -0.4548E+04   0.1475E+00
         517  -0.4448E+04   0.1175E+00
         518  -0.4300E+04   0.9250E-01
         519  -0.4336E+04   0.1013E+00
         520  -0.4520E+04   0.3500E-01
         521  -0.4352E+04   0.1375E-01
         522  -0.4372E+04   0.3875E-01
         523  -0.4352E+04   0.4375E-01
         524  -0.4384E+04   0.5000E-02
         525  -0.4476E+04   0.1125E+00
         526  -0.4288E+04   0.1375E-01
         527  -0.4332E+04   0.2000E-01
         528  -0.4292E+04   0.1212E+00
         529  -0.4216E+04   0.4500E-01
         530  -0.4396E+04   0.1237E+00
         531  -0.4428E+04   0.8750E-02
         532  -0.4336E+04   0.2625E-01
         533  -0.4240E+04   0.7125E-01
         534  -0.4312E+04   0.7250E-01
         535  -0.4292E+04   0.1300E+00
         536  -0.4304E+04   0.1450E+00
         537  -0.4292E+04   0.1100E+00
         538  -0.4444E+04   0.3625E-01
         539  -0.4464E+04   0.9000E-01
         540  -0.4396E+04   0.1025E+00
         541  -0.4348E+04   0.3750E-01
         542  -0.4436E+04   0.1263E+00
         543  -0.4428E+04   0.1013E+00
         544  -0.4376E+04   0.2162E+00
         545  -0.4364E+04   0.2475E+00
         546  -0.4328E+04   0.2525E+00
         547  -0.4320E+04   0.1938E+00
         548  -0.4340E+04   0.1175E+00
         549  -0.4304E+04   0.1613E+00
         550  -0.4372E+04   0.1938E+00
         551  -0.4324E+04   0.1163E+00
         552  -0.4332E+04   0.1250E-01
         553  -0.4328E+04   0.1375E+00
         554  -0.4300E+04   0.1988E+00
         555  -0.4272E+04   0.1400E+00
         556  -0.4356E+04   0.9250E-01
         557  -0.4244E+04   0.7500E-01
         558  -0.4200E+04   0.7500E-01
         559  -0.4336E+04   0.7875E-01
         560  -0.4292E+04   0.2025E+00
         561  -0.4404E+04   0.2500E+00
         562  -0.4280E+04   0.2100E+00
         563  -0.4256E+04   0.1425E+00
         564  -0.4120E+04   0.1188E+00
         565  -0.4172E+04   0.1175E+00
         566  -0.4216E+04   0.6625E-01
         567  -0.4344E+04   0.5000E-01
         568  -0.4388E+04   0.1713E+00
         569  -0.4360E+04   0.4125E-01
         570  -0.4372E+04   0.4250E-01
         571  -0.4352E+04   0.9500E-01
         572  -0.4344E+04   0.8875E-01
         573  -0.4316E+04   0.1475E+00
         574  -0.4432E+04   0.1325E+00
         575  -0.4360E+04   0.1188E+00
         576  -0.4256E+04   0.1450E+00
         577  -0.4208E+04   0.7750E-01
         578  -0.4248E+04   0.1462E+00
         579  -0.4256E+04   0.1363E+00
         580  -0.4252E+04   0.1650E+00
         581  -0.4276E+04   0.1450E+00
         582  -0.4304E+04   0.1087E+00
         583  -0.4148E+04   0.1388E+00
         584  -0.4208E+04   0.1113E+00
         585  -0.4276E+04   0.5000E-01
         586  -0.4380E+04   0.8250E-01
         587  -0.4332E+04   0.1000E+00
         588  -0.4348E+04   0.1500E+00
         589  -0.4268E+04   0.1550E+00
         590  -0.4384E+04   0.1588E+00
         591  -0.4380E+04   0.2013E+00
         592  -0.4424E+04   0.2687E+00
         593  -0.4556E+04   0.2313E+00
         594  -0.4572E+04   0.1675E+00
         595  -0.4488E+04   0.7375E-01
         596  -0.4448E+04   0.1250E+00
         597  -0.4404E+04   0.2188E+00
         598  -0.4348E+04   0.2325E+00
         599  -0.4464E+04   0.2350E+00
         600  -0.4432E+04   0.2150E+00
         601  -0.4424E+04   0.1650E+00
         602  -0.4368E+04   0.2125E-01
         603  -0.4372E+04   0.2625E-01
         604  -0.4320E+04   0.3750E-01
         605  -0.4336E+04   0.2750E-01
         606  -0.4348E+04   0.5000E-01
         607  -0.4424E+04   0.1338E+00
         608  -0.4452E+04   0.1000E+00
         609  -0.4328E+04   0.5500E-01
         610  -0.4272E+04   0.9250E-01
         611  -0.4360E+04   0.2363E+00
         612  -0.4356E+04   0.2575E+00
         613  -0.4308E+04   0.1613E+00
         614  -0.4476E+04   0.1888E+00
         615  -0.4456E+04   0.8625E-01
         616  -0.4412E+04   0.1300E+00
         617  -0.4344E+04   0.2000E-01
         618  -0.4452E+04   0.7500E-02
         619  -0.4444E+04   0.6125E-01
         620  -0.4436E+04   0.2875E-01
         621  -0.4424E+04   0.1038E+00
         622  -0.4400E+04   0.1613E+00
         623  -0.4444E+04   0.1225E+00
         624  -0.4404E+04   0.1163E+00
         625  -0.4380E+04   0.5500E-01
         626  -0.4384E+04   0.7625E-01
         627  -0.4396E+04   0.1300E+00
         628  -0.4408E+04   0.1375E+00
         629  -0.4280E+04   0.6625E-01
         630  -0.4400E+04   0.1512E+00
