          fx           fy           fz
 -0.2873E-14  -0.1756E-14  -0.5614E-14
 -0.3546E-14  -0.4441E-14  -0.1998E-14
  0.1432E-13  -0.2623E-14  -0.1936E-14
  0.1377E-13  -0.5107E-14   0.1354E-13
 -0.1346E-14  -0.2109E-14   0.1143E-13
 -0.1318E-14  -0.2776E-16  -0.4899E-14
  0.1162E-13   0.2012E-14  -0.5808E-14
  0.1225E-13   0.4163E-16  -0.3546E-14
 -0.1957E-14   0.2762E-14  -0.2241E-14
 -0.9853E-15   0.1596E-15  -0.5551E-16
  0.1420E-13   0.2193E-14  -0.5551E-16
  0.1281E-13   0.1138E-14   0.2984E-14
 -0.2928E-14   0.5274E-15   0.2075E-14
 -0.1665E-14   0.2914E-15   0.1242E-14
  0.1173E-13   0.6523E-15   0.1138E-14
  0.1356E-13  -0.2220E-15  -0.6391E-14
 -0.2116E-14   0.1214E-14  -0.5246E-14
 -0.9853E-15   0.9437E-15  -0.2033E-14
  0.1376E-13   0.1846E-14  -0.1769E-14
  0.1259E-13  -0.1110E-15   0.1171E-13
 -0.1998E-14   0.3220E-14   0.1110E-13
 -0.1651E-14  -0.2498E-15  -0.5551E-14
  0.1483E-13  -0.6689E-14  -0.5038E-14
  0.1336E-13   0.3469E-15  -0.1624E-14
 -0.2644E-14  -0.5128E-14  -0.1645E-14
 -0.2498E-15   0.5690E-15   0.1665E-15
  0.1467E-13  -0.6155E-14   0.2776E-15
  0.1297E-13   0.1582E-14   0.1846E-14
 -0.1672E-14  -0.5683E-14   0.1200E-14
 -0.9298E-15  -0.1527E-15   0.9506E-15
  0.1335E-13  -0.6439E-14   0.4996E-15
  0.1284E-13   0.3886E-15  -0.5856E-14
 -0.2102E-14  -0.5759E-14  -0.4385E-14
 -0.1138E-14   0.1443E-14  -0.1811E-14
  0.1340E-13  -0.5260E-14  -0.2075E-14
  0.1405E-13   0.1443E-14   0.1196E-13
 -0.1332E-14  -0.4330E-14   0.1118E-13
 -0.4441E-15  -0.2220E-14  -0.4885E-14
  0.1288E-13   0.1377E-13  -0.5773E-14
  0.1166E-13  -0.1006E-14  -0.2290E-14
 -0.1006E-14   0.1255E-13  -0.1887E-14
 -0.1270E-14  -0.1270E-14   0.5551E-16
  0.1282E-13   0.1282E-13   0.1110E-15
  0.1132E-13  -0.1547E-14   0.1957E-14
  0.2290E-15   0.1132E-13   0.1998E-14
 -0.1013E-14  -0.1901E-14   0.5551E-15
  0.1256E-13   0.1345E-13   0.5551E-15
  0.1202E-13  -0.1360E-14  -0.5274E-14
 -0.4718E-15   0.1202E-13  -0.5218E-14
 -0.4441E-15  -0.2220E-14  -0.2220E-14
  0.1199E-13   0.1288E-13  -0.1776E-14
  0.1199E-13  -0.1332E-14   0.1110E-13
 -0.4441E-15   0.1199E-13   0.1155E-13
