     MC_step       U_adim       P_adim
         541   0.1975E+05   0.2830E+03
         542   0.2006E+05   0.2869E+03
         543   0.1921E+05   0.2762E+03
         544   0.1982E+05   0.2840E+03
         545   0.1976E+05   0.2831E+03
         546   0.2009E+05   0.2870E+03
         547   0.2006E+05   0.2868E+03
         548   0.1838E+05   0.2653E+03
         549   0.1853E+05   0.2674E+03
         550   0.1918E+05   0.2759E+03
         551   0.1901E+05   0.2738E+03
         552   0.1845E+05   0.2664E+03
         553   0.1898E+05   0.2732E+03
         554   0.1960E+05   0.2812E+03
         555   0.2003E+05   0.2865E+03
         556   0.1994E+05   0.2855E+03
         557   0.1956E+05   0.2807E+03
         558   0.1932E+05   0.2776E+03
         559   0.1958E+05   0.2808E+03
         560   0.1968E+05   0.2819E+03
         561   0.1953E+05   0.2803E+03
         562   0.1971E+05   0.2827E+03
         563   0.1936E+05   0.2782E+03
         564   0.1937E+05   0.2783E+03
         565   0.1976E+05   0.2835E+03
         566   0.2036E+05   0.2910E+03
         567   0.2030E+05   0.2904E+03
         568   0.2047E+05   0.2925E+03
         569   0.2053E+05   0.2932E+03
         570   0.1957E+05   0.2812E+03
         571   0.1883E+05   0.2716E+03
         572   0.1817E+05   0.2633E+03
         573   0.1844E+05   0.2667E+03
         574   0.1795E+05   0.2605E+03
         575   0.1715E+05   0.2503E+03
         576   0.1692E+05   0.2473E+03
         577   0.1743E+05   0.2538E+03
         578   0.1809E+05   0.2626E+03
         579   0.1843E+05   0.2669E+03
         580   0.1792E+05   0.2603E+03
         581   0.1817E+05   0.2634E+03
         582   0.1844E+05   0.2669E+03
         583   0.1850E+05   0.2677E+03
         584   0.1918E+05   0.2765E+03
         585   0.1933E+05   0.2784E+03
         586   0.1944E+05   0.2798E+03
         587   0.1992E+05   0.2861E+03
         588   0.1991E+05   0.2857E+03
         589   0.1951E+05   0.2806E+03
         590   0.1949E+05   0.2803E+03
         591   0.1976E+05   0.2838E+03
         592   0.1982E+05   0.2846E+03
         593   0.2031E+05   0.2910E+03
         594   0.2017E+05   0.2892E+03
         595   0.2056E+05   0.2942E+03
         596   0.2000E+05   0.2869E+03
         597   0.2018E+05   0.2893E+03
         598   0.2046E+05   0.2929E+03
         599   0.2068E+05   0.2957E+03
         600   0.1963E+05   0.2821E+03
         601   0.1955E+05   0.2812E+03
         602   0.1830E+05   0.2652E+03
         603   0.1849E+05   0.2677E+03
         604   0.1906E+05   0.2752E+03
         605   0.1866E+05   0.2697E+03
         606   0.1888E+05   0.2724E+03
         607   0.1843E+05   0.2666E+03
         608   0.1849E+05   0.2676E+03
         609   0.1877E+05   0.2713E+03
         610   0.1937E+05   0.2790E+03
         611   0.1953E+05   0.2813E+03
         612   0.1978E+05   0.2844E+03
         613   0.1990E+05   0.2860E+03
         614   0.2060E+05   0.2950E+03
         615   0.2040E+05   0.2925E+03
         616   0.2090E+05   0.2991E+03
         617   0.2124E+05   0.3036E+03
         618   0.2140E+05   0.3058E+03
         619   0.2116E+05   0.3026E+03
         620   0.2044E+05   0.2934E+03
         621   0.2073E+05   0.2973E+03
         622   0.2023E+05   0.2908E+03
         623   0.2025E+05   0.2910E+03
         624   0.2067E+05   0.2964E+03
         625   0.2128E+05   0.3044E+03
         626   0.2107E+05   0.3018E+03
         627   0.2152E+05   0.3075E+03
         628   0.2200E+05   0.3138E+03
         629   0.2130E+05   0.3047E+03
         630   0.2174E+05   0.3103E+03
         631   0.2192E+05   0.3124E+03
         632   0.2190E+05   0.3122E+03
         633   0.2245E+05   0.3191E+03
         634   0.2297E+05   0.3259E+03
         635   0.2276E+05   0.3231E+03
         636   0.2331E+05   0.3301E+03
         637   0.2352E+05   0.3330E+03
         638   0.2364E+05   0.3346E+03
         639   0.2383E+05   0.3370E+03
         640   0.2419E+05   0.3416E+03
         641   0.2438E+05   0.3441E+03
         642   0.2493E+05   0.3512E+03
         643   0.2452E+05   0.3459E+03
         644   0.2397E+05   0.3389E+03
         645   0.2360E+05   0.3345E+03
         646   0.2367E+05   0.3354E+03
         647   0.2401E+05   0.3396E+03
         648   0.2407E+05   0.3404E+03
         649   0.2462E+05   0.3476E+03
         650   0.2448E+05   0.3457E+03
         651   0.2431E+05   0.3437E+03
         652   0.2452E+05   0.3462E+03
         653   0.2472E+05   0.3488E+03
         654   0.2442E+05   0.3450E+03
         655   0.2375E+05   0.3366E+03
         656   0.2435E+05   0.3441E+03
         657   0.2476E+05   0.3493E+03
         658   0.2499E+05   0.3522E+03
         659   0.2498E+05   0.3521E+03
         660   0.2508E+05   0.3533E+03
         661   0.2496E+05   0.3517E+03
         662   0.2363E+05   0.3344E+03
         663   0.2358E+05   0.3337E+03
         664   0.2162E+05   0.3083E+03
         665   0.2165E+05   0.3087E+03
         666   0.2184E+05   0.3111E+03
         667   0.2225E+05   0.3162E+03
         668   0.2238E+05   0.3177E+03
         669   0.2215E+05   0.3150E+03
         670   0.2260E+05   0.3209E+03
         671   0.2281E+05   0.3233E+03
         672   0.2296E+05   0.3252E+03
         673   0.2253E+05   0.3197E+03
         674   0.2258E+05   0.3204E+03
         675   0.2327E+05   0.3291E+03
         676   0.2268E+05   0.3216E+03
         677   0.2238E+05   0.3180E+03
         678   0.2206E+05   0.3139E+03
         679   0.2185E+05   0.3111E+03
         680   0.2186E+05   0.3114E+03
         681   0.2183E+05   0.3112E+03
         682   0.2216E+05   0.3152E+03
         683   0.2285E+05   0.3241E+03
         684   0.2328E+05   0.3296E+03
         685   0.2379E+05   0.3360E+03
         686   0.2409E+05   0.3401E+03
         687   0.2394E+05   0.3379E+03
         688   0.2399E+05   0.3386E+03
         689   0.2416E+05   0.3404E+03
         690   0.2433E+05   0.3425E+03
         691   0.2473E+05   0.3475E+03
         692   0.2251E+05   0.3190E+03
         693   0.2216E+05   0.3143E+03
         694   0.2205E+05   0.3130E+03
         695   0.2201E+05   0.3125E+03
         696   0.2234E+05   0.3167E+03
         697   0.2251E+05   0.3188E+03
         698   0.2203E+05   0.3126E+03
         699   0.2215E+05   0.3142E+03
         700   0.2245E+05   0.3181E+03
         701   0.2223E+05   0.3153E+03
         702   0.2225E+05   0.3157E+03
         703   0.2195E+05   0.3118E+03
         704   0.2133E+05   0.3039E+03
         705   0.2107E+05   0.3007E+03
         706   0.2104E+05   0.3003E+03
         707   0.2105E+05   0.3004E+03
         708   0.2108E+05   0.3008E+03
         709   0.2121E+05   0.3024E+03
         710   0.2180E+05   0.3098E+03
         711   0.2166E+05   0.3080E+03
         712   0.2187E+05   0.3109E+03
         713   0.2218E+05   0.3149E+03
         714   0.2272E+05   0.3217E+03
         715   0.2224E+05   0.3154E+03
         716   0.2253E+05   0.3193E+03
         717   0.2187E+05   0.3110E+03
         718   0.2192E+05   0.3117E+03
         719   0.2186E+05   0.3109E+03
         720   0.2156E+05   0.3070E+03
         721   0.2146E+05   0.3059E+03
         722   0.2161E+05   0.3076E+03
         723   0.2197E+05   0.3123E+03
         724   0.2265E+05   0.3209E+03
         725   0.2239E+05   0.3174E+03
         726   0.2278E+05   0.3224E+03
         727   0.2211E+05   0.3139E+03
         728   0.2270E+05   0.3213E+03
